modification_ID	modification_name	mass	class
43	ICPL6 of peptide N-term	111.04159274737	5
44	Dehydration of S	-18.0105646837	0
45	Palmitoylation of C	238.22966558166	0
46	Propionamide of C	71.03711378470999	0
47	mTRAQ of peptide N-term light	140.09496301400003	5
48	Propionyl of K light	56.02621474784	0
49	Dehydration of T	-18.0105646837	0
50	Hex(5) HexNAc(4) NeuAc(2) Na of N	2226.7543844323136	0
51	Lysine 2H(4)	4.025106982920001	0
52	ICAT-9	236.15718495847005	0
53	Dimethylation of peptide N-term	28.031300128279995	5
54	Propionamide of K	71.03711378470999	0
55	TMT 10-plex of peptide N-term	229.16293213472008	5
56	Methylation of S	14.01565006414	0
57	Methylation of R	14.01565006414	0
58	Homoserine of peptide C-term M	-29.992806444580005	8
59	Proline 13C(5)	5.016774189000003	0
60	Farnesylation of C	204.18780076968	0
61	Trimethylation of K	42.04695019242001	0
62	iTRAQ 8-plex of peptide N-term	304.1990394611601	5
63	FormylMet of protein N-term	159.03539953255	1
64	Dimethylation of K	28.031300128279995	0
65	mTRAQ of K 13C(3) 15N	144.10206242080005	0
66	Carboxymethylation of C	58.005479303259996	0
67	Guanidination of peptide N-term	42.02179807374	5
68	Acetylation of protein N-term	42.0105646837	1
69	Trimethylation of R	42.04695019242001	0
70	Pyrolidone from E	-18.010564683699997	6
71	Dimethylation of R	28.031300128279995	0
72	TMT 2-plex of K	225.15583272792006	0
73	Pyrolidone from Q	-17.026549101009998	6
74	18O(1) of peptide C-term	2.0042463804400015	7
75	18O(2) of peptide C-term	4.008492760880003	7
76	Acetaldehyde +26	26.015650064139997	5
77	Formylation of K	27.99491461956	0
78	Dioxidation of W	31.98982923912	0
79	mTRAQ of K light	140.09496301400003	0
80	Ubiquitination of K	114.04292744114002	0
81	Formylation of T	27.99491461956	0
82	Nethylmaleimide of C	125.04767846841	0
83	Formylation of S	27.99491461956	0
84	iTRAQ 8-plex of Y	304.1990394611601	0
85	ICPL4 of K	109.04657070348998	0
86	Formylation of peptide N-term	27.99491461956	5
87	mTRAQ of peptide N-term 13C(6) 15N(2)	148.10916182760005	5
88	TMT 6-plex of peptide N-term	229.16293213472008	5
89	Carbamilation of K	43.00581365643	0
90	mTRAQ of 13C(6) 15N(2)	148.10916182760005	0
91	SUMO-2/3 Q87R	471.2077609201101	0
92	iTRAQ 4-plex of Y	144.10206242080005	0
93	Dimethylation of peptide N-term 2H(4)	32.0564071112	5
94	iTRAQ 4-plex of K	144.10206242080005	0
95	Sulfation of Y	79.95681485867999	0
96	Sulfation of S	79.95681485867999	0
97	Sulfation of T	79.95681485867999	0
98	TMT 10-plex of K	229.16293213472008	0
99	Oxidation of C	15.99491461956	0
100	Amidation of the peptide C-term	-0.9840155826899988	7
101	Carbamilation of protein N-term	43.00581365643	1
102	ICPL6 of K	111.04159274737	0
103	Propionamide of peptide N-term	71.03711378470999	5
104	Phosphorylation of Y	79.96633052074999	0
105	Didehydro of T	-2.01565006414	0
106	Oxidation of K	15.99491461956	0
107	Oxidation of M	15.99491461956	0
108	Phosphorylation of T	79.96633052074999	0
109	Oxidation of P	15.99491461956	0
110	Trioxidation of C	47.98474385868	0
111	Dimethylation of K 2H(6)	34.068960602660006	0
112	NIPCAM of C	99.06841391299	0
113	Methylthio of N	45.987721064140004	0
114	Trideuterated Methyl Ester of K	17.034480301330003	0
115	Trideuterated Methyl Ester of E	17.034480301330003	0
116	Methylthio of C	45.987721064140004	0
117	Phosphorylation of S	79.96633052074999	0
118	Methylthio of D	45.987721064140004	0
119	Trideuterated Methyl Ester of D	17.034480301330003	0
120	ICPL10 of K	115.06669973028997	0
121	Deamidation of N 18O	2.9882619631300003	0
122	Dimethylation of peptide N-term 2H(6)	34.068960602660006	5
123	Pyridylethyl of C	105.05784922929	0
124	Arginine 13C(6) 15N(4)	10.008268600400015	0
125	Trideuterated Methyl Ester of peptide C-term	17.034480301330003	5
126	Hex(1)NAc(1) of S	365.1321959380101	0
127	Hex(1)NAc(1) of T	365.1321959380101	0
128	Propionyl of K heavy	59.03627926124	0
129	Citrullination of R	0.9840155826899988	0
130	mTRAQ of peptide N-term 13C(3) 15N	144.10206242080005	5
131	ICPL0 of peptide N-term	105.02146372057001	5
132	Geranyl-geranyl of C	272.25040102623996	0
133	Lysine 13C(6) 15N(2)	8.014198813600004	0
134	Homoserine lactone of peptide C-term M	-48.00337112828	8
135	Carbamidomethylation of E	57.02146372057	0
136	Dimethylation of K 2H(4)	32.0564071112	0
137	Glutathione of C	305.06815621281	0
138	Carbamidomethylation of K	57.02146372057	0
139	Lipoyl of K	188.0329570044	0
140	Leucine 13C(6) 15N(1)	7.017163920200005	0
141	iTRAQ 4-plex of peptide N-term	144.10206242080005	5
142	Deamidation of Q	0.9840155826899988	0
143	Deamidation of N	0.9840155826899988	0
